benchmark,function,loop_id,loop_depth,is_innermost,num_subloops,trip_count_known,trip_count,max_trip_count_known,max_trip_count,num_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_forward_contiguous_loads,num_strided_loads,num_forward_contiguous_stores,num_strided_stores,tile_size,synthetic_speedup,profitable
2mm,init_array,0,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,8,1.02,1
2mm,init_array,0,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,16,1.066,1
2mm,init_array,0,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,32,1.098,1
2mm,init_array,0,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,64,0.992,0
2mm,init_array,1,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,8,1.275,1
2mm,init_array,1,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,16,1.3,1
2mm,init_array,1,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,32,1.3,1
2mm,init_array,1,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,64,1.237,1
2mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,8,0.989,0
2mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,16,1.025,1
2mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,32,1.057,1
2mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,64,0.981,0
2mm,init_array,3,2,1,0,1,800,1,800,28,10,2,5,1,0,0,0,0,8,1.201,1
2mm,init_array,3,2,1,0,1,800,1,800,28,10,2,5,1,0,0,0,0,16,1.247,1
2mm,init_array,3,2,1,0,1,800,1,800,28,10,2,5,1,0,0,0,0,32,1.279,1
2mm,init_array,3,2,1,0,1,800,1,800,28,10,2,5,1,0,0,0,0,64,1.173,1
2mm,init_array,4,1,0,1,1,900,1,900,38,13,4,5,1,0,0,0,0,8,0.986,0
2mm,init_array,4,1,0,1,1,900,1,900,38,13,4,5,1,0,0,0,0,16,1.022,1
2mm,init_array,4,1,0,1,1,900,1,900,38,13,4,5,1,0,0,0,0,32,1.054,1
2mm,init_array,4,1,0,1,1,900,1,900,38,13,4,5,1,0,0,0,0,64,0.978,0
2mm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,8,1.249,1
2mm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,16,1.235,1
2mm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,32,1.3,1
2mm,init_array,5,2,1,0,1,1100,1,1100,27,10,2,4,1,0,0,0,0,64,1.271,1
2mm,init_array,6,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,8,1.02,1
2mm,init_array,6,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,16,1.066,1
2mm,init_array,6,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,32,1.098,1
2mm,init_array,6,1,0,1,1,800,1,800,38,13,4,5,1,0,0,0,0,64,0.992,0
2mm,init_array,7,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,8,1.275,1
2mm,init_array,7,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,16,1.3,1
2mm,init_array,7,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,32,1.3,1
2mm,init_array,7,2,1,0,1,1200,1,1200,27,10,2,4,1,0,0,0,0,64,1.237,1
2mm,kernel_2mm,8,1,0,1,1,900,1,900,68,26,7,3,1,0,0,0,0,8,1.065,1
2mm,kernel_2mm,8,1,0,1,1,900,1,900,68,26,7,3,1,0,0,0,0,16,1.101,1
2mm,kernel_2mm,8,1,0,1,1,900,1,900,68,26,7,3,1,0,0,0,0,32,1.133,1
2mm,kernel_2mm,8,1,0,1,1,900,1,900,68,26,7,3,1,0,0,0,0,64,1.057,1
2mm,kernel_2mm,9,2,0,1,1,1200,1,1200,57,23,5,2,1,0,0,0,0,8,1.3,1
2mm,kernel_2mm,9,2,0,1,1,1200,1,1200,57,23,5,2,1,0,0,0,0,16,1.3,1
2mm,kernel_2mm,9,2,0,1,1,1200,1,1200,57,23,5,2,1,0,0,0,0,32,1.3,1
2mm,kernel_2mm,9,2,0,1,1,1200,1,1200,57,23,5,2,1,0,0,0,0,64,1.3,1
2mm,kernel_2mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,8,1.3,1
2mm,kernel_2mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,16,1.3,1
2mm,kernel_2mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,32,1.3,1
2mm,kernel_2mm,10,3,1,0,1,1100,1,1100,35,15,2,1,0,0,0,0,0,64,1.3,1
2mm,kernel_2mm,11,1,0,1,1,900,1,900,67,25,7,3,1,0,0,0,0,8,1.058,1
2mm,kernel_2mm,11,1,0,1,1,900,1,900,67,25,7,3,1,0,0,0,0,16,1.094,1
2mm,kernel_2mm,11,1,0,1,1,900,1,900,67,25,7,3,1,0,0,0,0,32,1.126,1
2mm,kernel_2mm,11,1,0,1,1,900,1,900,67,25,7,3,1,0,0,0,0,64,1.05,1
2mm,kernel_2mm,12,2,0,1,1,800,1,800,56,22,5,2,1,0,0,0,0,8,1.3,1
2mm,kernel_2mm,12,2,0,1,1,800,1,800,56,22,5,2,1,0,0,0,0,16,1.3,1
2mm,kernel_2mm,12,2,0,1,1,800,1,800,56,22,5,2,1,0,0,0,0,32,1.3,1
2mm,kernel_2mm,12,2,0,1,1,800,1,800,56,22,5,2,1,0,0,0,0,64,1.3,1
2mm,kernel_2mm,13,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,8,1.3,1
2mm,kernel_2mm,13,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,16,1.3,1
2mm,kernel_2mm,13,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,32,1.3,1
2mm,kernel_2mm,13,3,1,0,1,1100,1,1100,37,16,2,1,1,0,0,0,0,64,1.3,1
2mm,print_array,14,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,8,1.053,1
2mm,print_array,14,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,16,1.099,1
2mm,print_array,14,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,32,1.131,1
2mm,print_array,14,1,0,1,1,800,1,800,41,15,3,5,0,0,0,0,0,64,1.025,1
2mm,print_array,15,2,1,0,1,1200,1,1200,30,12,1,4,0,0,0,0,0,8,1.288,1
2mm,print_array,15,2,1,0,1,1200,1,1200,30,12,1,4,0,0,0,0,0,16,1.3,1
2mm,print_array,15,2,1,0,1,1200,1,1200,30,12,1,4,0,0,0,0,0,32,1.3,1
2mm,print_array,15,2,1,0,1,1200,1,1200,30,12,1,4,0,0,0,0,0,64,1.25,1
3mm,init_array,0,1,0,1,1,800,1,800,40,13,4,7,1,0,0,0,0,8,1.046,1
3mm,init_array,0,1,0,1,1,800,1,800,40,13,4,7,1,0,0,0,0,16,1.092,1
3mm,init_array,0,1,0,1,1,800,1,800,40,13,4,7,1,0,0,0,0,32,1.124,1
3mm,init_array,0,1,0,1,1,800,1,800,40,13,4,7,1,0,0,0,0,64,1.018,1
3mm,init_array,1,2,1,0,1,1100,1,1100,29,10,2,6,1,0,0,0,0,8,1.255,1
3mm,init_array,1,2,1,0,1,1100,1,1100,29,10,2,6,1,0,0,0,0,16,1.241,1
3mm,init_array,1,2,1,0,1,1100,1,1100,29,10,2,6,1,0,0,0,0,32,1.3,1
3mm,init_array,1,2,1,0,1,1100,1,1100,29,10,2,6,1,0,0,0,0,64,1.277,1
3mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,8,0.989,0
3mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,16,1.025,1
3mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,32,1.057,1
3mm,init_array,2,1,0,1,1,900,1,900,39,13,4,6,1,0,0,0,0,64,0.981,0
3mm,init_array,3,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,8,1.167,1
3mm,init_array,3,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,16,1.203,1
3mm,init_array,3,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,32,1.235,1
3mm,init_array,3,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,64,1.159,1
3mm,init_array,4,1,0,1,1,1100,1,1100,40,13,4,7,1,0,0,0,0,8,1.097,1
3mm,init_array,4,1,0,1,1,1100,1,1100,40,13,4,7,1,0,0,0,0,16,1.083,1
3mm,init_array,4,1,0,1,1,1100,1,1100,40,13,4,7,1,0,0,0,0,32,1.155,1
3mm,init_array,4,1,0,1,1,1100,1,1100,40,13,4,7,1,0,0,0,0,64,1.119,1
3mm,init_array,5,2,1,0,1,1200,1,1200,29,10,2,6,1,0,0,0,0,8,1.281,1
3mm,init_array,5,2,1,0,1,1200,1,1200,29,10,2,6,1,0,0,0,0,16,1.3,1
3mm,init_array,5,2,1,0,1,1200,1,1200,29,10,2,6,1,0,0,0,0,32,1.3,1
3mm,init_array,5,2,1,0,1,1200,1,1200,29,10,2,6,1,0,0,0,0,64,1.243,1
3mm,init_array,6,1,0,1,1,800,1,800,39,13,4,6,1,0,0,0,0,8,1.023,1
3mm,init_array,6,1,0,1,1,800,1,800,39,13,4,6,1,0,0,0,0,16,1.069,1
3mm,init_array,6,1,0,1,1,800,1,800,39,13,4,6,1,0,0,0,0,32,1.101,1
3mm,init_array,6,1,0,1,1,800,1,800,39,13,4,6,1,0,0,0,0,64,0.995,0
3mm,init_array,7,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,8,1.167,1
3mm,init_array,7,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,16,1.203,1
3mm,init_array,7,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,32,1.235,1
3mm,init_array,7,2,1,0,1,900,1,900,28,10,2,5,1,0,0,0,0,64,1.159,1
3mm,kernel_3mm,8,1,0,1,1,1000,1,1000,65,24,7,3,0,0,0,0,0,8,1.18,1
3mm,kernel_3mm,8,1,0,1,1,1000,1,1000,65,24,7,3,0,0,0,0,0,16,1.196,1
3mm,kernel_3mm,8,1,0,1,1,1000,1,1000,65,24,7,3,0,0,0,0,0,32,1.218,1
3mm,kernel_3mm,8,1,0,1,1,1000,1,1000,65,24,7,3,0,0,0,0,0,64,1.152,1
3mm,kernel_3mm,9,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,8,1.3,1
3mm,kernel_3mm,9,2,0,1,1,1200,1,1200,54,21,5,2,0,0,0,0,0,16,1.3,1
