benchmark,function,loop_id,unroll_factor,loop_depth,is_innermost,has_parent_loop,num_subloops,num_basic_blocks,num_exiting_blocks,num_instructions,num_phi_nodes,num_terminator_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_branches,num_conditional_branches,num_calls,trip_count_known,trip_count,max_trip_count_known,max_trip_count,memory_op_ratio,control_overhead_ratio,arithmetic_intensity,baseline_mean_seconds,candidate_mean_seconds,candidate_stddev_seconds,candidate_median_seconds,candidate_min_seconds,candidate_max_seconds,speedup,profitable
3mm,init_array,0,2,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,800,1,800,0.425,0.175,0.4705882,2.82929243796,2.88344956706,0.13472736532241153,2.8185805532600003,2.75836540526,3.2057147822600003,0.9812179378066185,0
3mm,init_array,0,4,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,800,1,800,0.425,0.175,0.4705882,2.82929243796,2.7948390230999998,0.029648185759061176,2.78713109458,2.7534815245799997,2.85599700458,1.0123275131681055,1
3mm,init_array,0,8,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,800,1,800,0.425,0.175,0.4705882,2.82929243796,2.8399379540600007,0.12182063288479543,2.80946498686,2.75199314986,3.32246822486,0.9962514969438745,0
3mm,init_array,0,16,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,800,1,800,0.425,0.175,0.4705882,2.82929243796,2.7986861287600004,0.03786158616485681,2.79436296468,2.73011366568,2.9034787506799997,1.010935956299451,1
3mm,init_array,1,2,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1100,1,1100,0.4137931,0.1034483,0.5833333,2.82929243796,2.797990248500001,0.03485460413406051,2.7919332051000003,2.7460738191000003,2.8917473961,1.0111873833287233,1
3mm,init_array,1,4,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1100,1,1100,0.4137931,0.1034483,0.5833333,2.82929243796,2.81199302728,0.0545642424350047,2.7991059480800002,2.75751937308,3.04263554908,1.0061520105178687,1
3mm,init_array,1,8,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1100,1,1100,0.4137931,0.1034483,0.5833333,2.82929243796,2.86914605654,0.1568020830800244,2.82464885346,2.78685415046,3.58896796646,0.9861095887784601,0
3mm,init_array,1,16,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1100,1,1100,0.4137931,0.1034483,0.5833333,2.82929243796,2.78386991854,0.02776111914602651,2.77968349022,2.73609573722,2.83987209522,1.0163163225111544,1
3mm,init_array,2,2,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,900,1,900,0.4358974,0.1794872,0.4117647,2.82929243796,2.7818166845600003,0.05145029483435242,2.7650350716000003,2.7156850406000004,2.9744864236,1.0170664564863334,1
3mm,init_array,2,4,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,900,1,900,0.4358974,0.1794872,0.4117647,2.82929243796,2.8304623750999998,0.04956650397478294,2.8146040133,2.7782782973,2.9582810323,0.9995866621827261,0
3mm,init_array,2,8,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,900,1,900,0.4358974,0.1794872,0.4117647,2.82929243796,2.777629298119999,0.04356965251567372,2.76141144704,2.73672646504,2.90581654404,1.0185997245474652,1
3mm,init_array,2,16,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,900,1,900,0.4358974,0.1794872,0.4117647,2.82929243796,2.8256756401,0.05381064720645605,2.8082608868600003,2.75131148586,2.96909700186,1.0012799763032505,1
3mm,init_array,3,2,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.76733074922,0.03637217184085511,2.75911295674,2.72353879974,2.8752110137400004,1.0223904167427273,1
3mm,init_array,3,4,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.75300246408,0.03754651374581749,2.74504782708,2.70566444608,2.84451307808,1.0277115530681133,1
3mm,init_array,3,8,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.79762710188,0.15089503837285206,2.76008396404,2.72321855604,3.5013731630400002,1.0113186407361872,1
3mm,init_array,3,16,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.7936046107600006,0.03447265814189237,2.7881101841200002,2.74948657012,2.8628188991200005,1.012774831149169,1
3mm,init_array,4,2,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,1100,1,1100,0.425,0.175,0.4705882,2.82929243796,2.8127455922199998,0.062167914318823056,2.80240290326,2.72812059226,2.99464514026,1.005882809233003,1
3mm,init_array,4,4,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,1100,1,1100,0.425,0.175,0.4705882,2.82929243796,2.7806128471,0.038281263387216526,2.76680395542,2.7225255064200002,2.86716236642,1.0175067848480848,1
3mm,init_array,4,8,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,1100,1,1100,0.425,0.175,0.4705882,2.82929243796,2.7822520039200005,0.03226126288747759,2.77623817604,2.7297455940399997,2.85092527004,1.0169073232668078,1
3mm,init_array,4,16,1,0,0,1,7,1,40,0,7,13,4,7,1,7,2,0,1,1100,1,1100,0.425,0.175,0.4705882,2.82929243796,2.81073327702,0.12495333059949705,2.76830343362,2.70086693462,3.2737199976199998,1.006602960548315,1
3mm,init_array,5,2,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1200,1,1200,0.4137931,0.1034483,0.5833333,2.82929243796,2.78746143538,0.033551412543417265,2.78377631598,2.73808645698,2.8876487609800003,1.0150068453141836,1
3mm,init_array,5,4,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1200,1,1200,0.4137931,0.1034483,0.5833333,2.82929243796,2.7844419611399998,0.02920759259180035,2.77706417046,2.7415135904600003,2.85244290746,1.0161075279879914,1
3mm,init_array,5,8,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1200,1,1200,0.4137931,0.1034483,0.5833333,2.82929243796,2.769087779839999,0.0357507238073364,2.76405511112,2.72361780412,2.85724559112,1.0217416936213843,1
3mm,init_array,5,16,2,1,1,0,3,1,29,0,3,10,2,6,1,3,1,0,1,1200,1,1200,0.4137931,0.1034483,0.5833333,2.82929243796,2.87068467618,0.16532743686061274,2.83184535102,2.76343711702,3.6325338780200003,0.9855810571730643,0
3mm,init_array,6,2,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,800,1,800,0.4358974,0.1794872,0.4117647,2.82929243796,2.76707712468,0.03616341839289682,2.75487434524,2.72724605024,2.8501504952400003,1.0224841269240714,1
3mm,init_array,6,4,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,800,1,800,0.4358974,0.1794872,0.4117647,2.82929243796,2.777103592519999,0.03194741883445496,2.77361185392,2.7272942259199997,2.8473627859199997,1.018792545434952,1
3mm,init_array,6,8,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,800,1,800,0.4358974,0.1794872,0.4117647,2.82929243796,2.81522041486,0.036884277365308506,2.8066679343,2.7529678973,2.9009811513000003,1.004998551099488,1
3mm,init_array,6,16,1,0,0,1,7,1,39,0,7,13,4,6,1,7,2,0,1,800,1,800,0.4358974,0.1794872,0.4117647,2.82929243796,2.75721594208,0.034555787533007226,2.74314128856,2.71559124656,2.84241048656,1.0261410413235992,1
3mm,init_array,7,2,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.7848131178800006,0.15482001109758958,2.7487917700400004,2.7104949350400003,3.5130813780400003,1.0159721023268735,1
3mm,init_array,7,4,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.79618999334,0.0234754474583467,2.7911086011400004,2.7539444051400004,2.8524234441400003,1.0118384103722722,1
3mm,init_array,7,8,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.7683174581199994,0.027722708474165355,2.76313314772,2.7104786777200003,2.8516447187200002,1.022026007046681,1
3mm,init_array,7,16,2,1,1,0,3,1,28,0,3,10,2,5,1,3,1,0,1,900,1,900,0.4285714,0.1071429,0.5,2.82929243796,2.7887891205600006,0.0323916270302596,2.77776085576,2.7472004607600002,2.86895343776,1.0145236214174078,1
3mm,kernel_3mm,8,2,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,1000,1,1000,0.4769231,0.1692308,0.09677419,2.82929243796,2.81902447472,0.12534620995158416,2.7834038688000002,2.7399753798,3.3725529828000003,1.003642381728885,1
3mm,kernel_3mm,8,4,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,1000,1,1000,0.4769231,0.1692308,0.09677419,2.82929243796,2.7801258796400004,0.03487354150343569,2.7685112060800003,2.73518118508,2.88621796408,1.017685011560112,1
3mm,kernel_3mm,8,8,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,1000,1,1000,0.4769231,0.1692308,0.09677419,2.82929243796,2.7897714766599995,0.033472213965254134,2.78466564142,2.73292130842,2.88627918442,1.0141663794438518,1
3mm,kernel_3mm,8,16,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,1000,1,1000,0.4769231,0.1692308,0.09677419,2.82929243796,2.7922228558200004,0.05429695668656576,2.7784194174600003,2.7207224874600002,2.9805743454600004,1.013276011283531,1
3mm,kernel_3mm,9,2,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.76593457516,0.03512268920695258,2.75588518592,2.71759934492,2.82258610892,1.022906493656429,1
3mm,kernel_3mm,9,4,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.79141007212,0.03458070251847887,2.78376774356,2.74645832956,2.89772014856,1.0135710500647543,1
3mm,kernel_3mm,9,8,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.79584623412,0.03715152120947155,2.78364991988,2.7504293468800003,2.89400675688,1.0119628194969483,1
3mm,kernel_3mm,9,16,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.52125706136,0.03727439267816689,2.52219840796,2.44492541796,2.58373418596,1.1221753153698026,1
3mm,kernel_3mm,10,2,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1100,1,1100,0.4857143,0.08571429,0.05882353,2.82929243796,2.44838464242,0.035562846921134095,2.4415417569400004,2.40089410794,2.55404547594,1.1555751449100367,1
3mm,kernel_3mm,10,4,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1100,1,1100,0.4857143,0.08571429,0.05882353,2.82929243796,2.47192954554,0.029090167474468125,2.47082039482,2.40198163682,2.5314612698200003,1.1445683972121192,1
3mm,kernel_3mm,10,8,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1100,1,1100,0.4857143,0.08571429,0.05882353,2.82929243796,2.5080485966600006,0.03227197029543061,2.50354592018,2.43831056518,2.5855383291800003,1.1280851741580302,1
3mm,kernel_3mm,10,16,3,1,1,0,3,1,35,0,3,15,2,1,0,3,1,1,1,1100,1,1100,0.4857143,0.08571429,0.05882353,2.82929243796,2.42677295518,0.043421065888278404,2.42959542706,2.29953685506,2.51572563406,1.1658661482611354,1
3mm,kernel_3mm,11,2,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.44375752538,0.025102686104727514,2.4366446459,2.4136652259,2.5118480429,1.1577631612694674,1
3mm,kernel_3mm,11,4,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.4486456647,0.029022414204380717,2.43960898162,2.40824798062,2.51609404262,1.155451962179524,1
3mm,kernel_3mm,11,8,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.5639526211600003,0.20512292141611188,2.46193090776,2.41987087276,3.1372534437599997,1.1034885803310799,1
3mm,kernel_3mm,11,16,1,0,0,1,11,1,65,0,11,24,7,3,0,11,3,1,1,900,1,900,0.4769231,0.1692308,0.09677419,2.82929243796,2.7769702696800005,0.03108233758814546,2.77029492484,2.73240289584,2.84159776284,1.0188414578475227,1
3mm,kernel_3mm,12,2,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.7853964545800007,0.037570210630672896,2.7729519819,2.7427292369000003,2.9104095429,1.0157593305282706,1
3mm,kernel_3mm,12,4,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.8048121630799994,0.044143949533423474,2.78890479756,2.74171138456,2.9196765915599996,1.008727955191523,1
3mm,kernel_3mm,12,8,2,0,1,1,7,1,54,0,7,21,5,2,0,7,2,1,1,1200,1,1200,0.4814815,0.1296296,0.07692308,2.82929243796,2.77356749418,0.03727657068141318,2.75788592994,2.71435348194,2.85558962894,1.0200914323869645,1
