benchmark,function,loop_id,unroll_factor,loop_depth,is_innermost,has_parent_loop,num_subloops,num_basic_blocks,num_exiting_blocks,num_instructions,num_phi_nodes,num_terminator_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_branches,num_conditional_branches,num_calls,trip_count_known,trip_count,max_trip_count_known,max_trip_count,memory_op_ratio,control_overhead_ratio,arithmetic_intensity,baseline_mean_seconds,candidate_mean_seconds,candidate_stddev_seconds,candidate_median_seconds,candidate_min_seconds,candidate_max_seconds,speedup,profitable
atax,init_array,0.0,2.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,1900.0,1.0,1900.0,0.4473684,0.1842105,0.3529412,0.0202331327,0.02190275566,0.0033996961615564,0.02171065586,0.01684211886,0.02922576686,0.92377110049905,0.0
atax,init_array,0.0,4.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,1900.0,1.0,1900.0,0.4473684,0.1842105,0.3529412,0.0202331327,0.01950974338,0.0022165716802339,0.01937095514,0.01638621714,0.02422290814,1.0370783616119503,1.0
atax,init_array,0.0,8.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,1900.0,1.0,1900.0,0.4473684,0.1842105,0.3529412,0.0202331327,0.02163985362,0.0025798488762078,0.02105519166,0.01789349466,0.02846572466,0.934993972477712,0.0
atax,init_array,0.0,16.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,1900.0,1.0,1900.0,0.4473684,0.1842105,0.3529412,0.0202331327,0.02012322942,0.0029810247642926,0.01905668802,0.01631248602,0.02732840902,1.0054615130457525,1.0
atax,init_array,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4444444,0.1111111,0.4166667,0.0202331327,0.02098313908,0.0030361552253895,0.0199263416,0.0171623426,0.0298173176,0.9642567121563392,0.0
atax,init_array,1.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4444444,0.1111111,0.4166667,0.0202331327,0.0197964235999999,0.0020299668630545,0.0191571006,0.0173372686,0.0246249336,1.022059999766827,1.0
atax,init_array,1.0,8.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4444444,0.1111111,0.4166667,0.0202331327,0.02136009372,0.0030283393627815,0.02082888544,0.01726319944,0.02869517044,0.9472398841141414,0.0
atax,init_array,1.0,16.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4444444,0.1111111,0.4166667,0.0202331327,0.02080921516,0.0029093178855657,0.0203336582,0.0163638862,0.0268580932,0.9723159929112868,0.0
atax,init_array,2.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,19.0,0.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4736842,0.1578947,0.3333333,0.0202331327,0.02051202922,0.0027302773185594,0.01999080898,0.01686066898,0.02518823498,0.9864032701490076,0.0
atax,init_array,2.0,4.0,1.0,1.0,0.0,0.0,3.0,1.0,19.0,0.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4736842,0.1578947,0.3333333,0.0202331327,0.01986606966,0.0027741955972208,0.01915415254,0.01634006554,0.02593652954,1.0184768827595057,1.0
atax,init_array,2.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,19.0,0.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4736842,0.1578947,0.3333333,0.0202331327,0.0204588599,0.0028415750561935,0.0197186277,0.0162207757,0.0259916057,0.9889667752209398,0.0
atax,init_array,2.0,16.0,1.0,1.0,0.0,0.0,3.0,1.0,19.0,0.0,3.0,7.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,2100.0,1.0,2100.0,0.4736842,0.1578947,0.3333333,0.0202331327,0.0193961377199999,0.0017818661792139,0.01886325956,0.01737029356,0.02410789556,1.04315266225074,1.0
atax,kernel_atax,3.0,2.0,1.0,0.0,0.0,2.0,11.0,1.0,84.0,0.0,11.0,35.0,8.0,3.0,0.0,11.0,3.0,2.0,1.0,1900.0,1.0,1900.0,0.5119048,0.1309524,0.06976744,0.0202331327,0.0212339374,0.0024679636742832,0.0203436806,0.0170986226,0.0261116936,0.952867681525707,0.0
atax,kernel_atax,3.0,4.0,1.0,0.0,0.0,2.0,11.0,1.0,84.0,0.0,11.0,35.0,8.0,3.0,0.0,11.0,3.0,2.0,1.0,1900.0,1.0,1900.0,0.5119048,0.1309524,0.06976744,0.0202331327,0.02741219544,0.0036212969162163,0.02777581512,0.02044359712,0.03514457512,0.7381069766661492,0.0
