benchmark,function,loop_id,unroll_factor,loop_depth,is_innermost,has_parent_loop,num_subloops,num_basic_blocks,num_exiting_blocks,num_instructions,num_phi_nodes,num_terminator_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_branches,num_conditional_branches,num_calls,trip_count_known,trip_count,max_trip_count_known,max_trip_count,memory_op_ratio,control_overhead_ratio,arithmetic_intensity,baseline_mean_seconds,candidate_mean_seconds,candidate_stddev_seconds,candidate_median_seconds,candidate_min_seconds,candidate_max_seconds,speedup,profitable
jacobi-2d,init_array,0,2,1,0,0,1,7,1,54,0,7,18,5,4,2,7,2,2,1,500,1,500,0.4259259,0.1296296,0.2608696,1.7900776604799997,1.8369054379000003,0.05649423601236755,1.81711643086,1.76422579886,1.98869290586,0.9745072465605332,0
jacobi-2d,init_array,0,4,1,0,0,1,7,1,54,0,7,18,5,4,2,7,2,2,1,500,1,500,0.4259259,0.1296296,0.2608696,1.7900776604799997,1.8255453014000003,0.031206477182150357,1.81866337276,1.78182523676,1.90016153176,0.9805714813580355,0
jacobi-2d,init_array,0,8,1,0,0,1,7,1,54,0,7,18,5,4,2,7,2,2,1,500,1,500,0.4259259,0.1296296,0.2608696,1.7900776604799997,1.8003743945400001,0.08081634428597545,1.78254182514,1.67930207814,1.96981053914,0.9942807817689324,0
jacobi-2d,init_array,0,16,1,0,0,1,7,1,54,0,7,18,5,4,2,7,2,2,1,500,1,500,0.4259259,0.1296296,0.2608696,1.7900776604799997,1.7617545684199998,0.07899157522523395,1.7394468202200002,1.6784956992200002,1.95267169022,1.0160766389187803,1
jacobi-2d,init_array,1,2,2,1,1,0,3,1,43,0,3,15,3,3,2,3,1,2,1,1298,1,1298,0.4186047,0.06976744,0.2777778,1.7900776604799997,1.7815294554000003,0.11319516991668896,1.77356336168,1.65022190068,2.08650832868,1.0047982395430448,1
jacobi-2d,init_array,1,4,2,1,1,0,3,1,43,0,3,15,3,3,2,3,1,2,1,1298,1,1298,0.4186047,0.06976744,0.2777778,1.7900776604799997,1.7595263859600003,0.08191818125973827,1.74061868536,1.67809801636,2.01934003236,1.0173633511630067,1
jacobi-2d,init_array,1,8,2,1,1,0,3,1,43,0,3,15,3,3,2,3,1,2,1,1298,1,1298,0.4186047,0.06976744,0.2777778,1.7900776604799997,1.7796321293600004,0.09833717147882376,1.7378961764,1.6693287054,2.0261059524,1.0058694889509305,1
jacobi-2d,init_array,1,16,2,1,1,0,3,1,43,0,3,15,3,3,2,3,1,2,1,1298,1,1298,0.4186047,0.06976744,0.2777778,1.7900776604799997,1.7833780862400002,0.08653522924764549,1.75946448376,1.6701860757600002,2.00949189076,1.0037566763277463,1
jacobi-2d,kernel_jacobi_2d,2,2,1,0,0,2,19,1,171,0,19,61,11,17,10,19,5,0,1,1298,1,1298,0.4210526,0.1111111,0.375,1.7900776604799997,1.7233772569000003,0.07254591158438072,1.70016353222,1.6376297862200002,1.8771042532200002,1.0387033096282003,1
jacobi-2d,kernel_jacobi_2d,2,4,1,0,0,2,19,1,171,0,19,61,11,17,10,19,5,0,1,1298,1,1298,0.4210526,0.1111111,0.375,1.7900776604799997,1.7569110153599996,0.07194091809737348,1.75798904416,1.6492745981599999,1.93003674816,1.0188778172770487,1
jacobi-2d,kernel_jacobi_2d,2,8,1,0,0,2,19,1,171,0,19,61,11,17,10,19,5,0,1,1298,1,1298,0.4210526,0.1111111,0.375,1.7900776604799997,1.6945441642199999,0.050237853627766484,1.68147264122,1.64106666422,1.82734709922,1.0563771061723695,1
jacobi-2d,kernel_jacobi_2d,2,16,1,0,0,2,19,1,171,0,19,61,11,17,10,19,5,0,1,1298,1,1298,0.4210526,0.1111111,0.375,1.7900776604799997,1.7092797092400003,0.04707595830561874,1.6999813354800002,1.6329889704800002,1.82673570248,1.047270175152272,1
jacobi-2d,kernel_jacobi_2d,3,2,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1298,1,1298,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.81186579644,0.11959889384213702,1.79411209012,1.6382725861199998,2.08897651212,0.9879747517709037,0
jacobi-2d,kernel_jacobi_2d,3,4,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1298,1,1298,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.7710043555800001,0.0792061916690773,1.78148438346,1.6378133754600002,1.93320578046,1.010769767358225,1
jacobi-2d,kernel_jacobi_2d,3,8,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1298,1,1298,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.8893052725599997,0.05704318966239852,1.8791051893600001,1.7912766903600001,2.01046123336,0.9474793123582685,0
jacobi-2d,kernel_jacobi_2d,3,16,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1298,1,1298,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.8572104710000001,0.04149134695800628,1.85183482144,1.7926598784399999,1.94894798144,0.9638528795910496,0
jacobi-2d,kernel_jacobi_2d,4,2,3,1,1,0,3,1,67,0,3,26,2,6,5,3,1,0,1,1298,1,1298,0.4179104,0.04477612,0.3928571,1.7900776604799997,1.8597789353399998,0.04036462137592369,1.8558737637,1.8030378797,1.9357724317,0.9625217419471108,0
jacobi-2d,kernel_jacobi_2d,4,4,3,1,1,0,3,1,67,0,3,26,2,6,5,3,1,0,1,1298,1,1298,0.4179104,0.04477612,0.3928571,1.7900776604799997,1.7937497737600003,0.0501234771405339,1.77727666584,1.75053374284,1.93265926084,0.9979528285752459,0
jacobi-2d,kernel_jacobi_2d,4,8,3,1,1,0,3,1,67,0,3,26,2,6,5,3,1,0,1,1298,1,1298,0.4179104,0.04477612,0.3928571,1.7900776604799997,1.8240397758799998,0.03320331606177978,1.81973316292,1.78648724192,1.93056511092,0.9813808252160426,0
jacobi-2d,kernel_jacobi_2d,4,16,3,1,1,0,3,1,67,0,3,26,2,6,5,3,1,0,1,1298,1,1298,0.4179104,0.04477612,0.3928571,1.7900776604799997,1.79606659498,0.0527946923474042,1.7764322401000001,1.7442053031000002,1.9576353161000002,0.9966655275941664,0
jacobi-2d,kernel_jacobi_2d,5,2,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1300,1,1300,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.8683523010000003,0.04765951964168945,1.8652815678399999,1.8125961788399998,1.9757874498399999,0.958104988829941,0
jacobi-2d,kernel_jacobi_2d,5,4,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1300,1,1300,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.8185476688799997,0.05832050919099186,1.7958151631600001,1.75072463416,1.96223837916,0.9843446455173023,0
jacobi-2d,kernel_jacobi_2d,5,8,2,0,1,1,7,1,79,0,7,29,4,8,5,7,2,0,1,1300,1,1300,0.4177215,0.08860759,0.3939394,1.7900776604799997,1.85995134684,0.0658190956432891,1.82812618128,1.7911519352800003,2.00966996928,0.9624325192813707,0
