benchmark,function,loop_id,unroll_factor,loop_depth,is_innermost,has_parent_loop,num_subloops,num_basic_blocks,num_exiting_blocks,num_instructions,num_phi_nodes,num_terminator_instructions,num_loads,num_stores,num_integer_ops,num_float_ops,num_branches,num_conditional_branches,num_calls,trip_count_known,trip_count,max_trip_count_known,max_trip_count,memory_op_ratio,control_overhead_ratio,arithmetic_intensity,baseline_mean_seconds,candidate_mean_seconds,candidate_stddev_seconds,candidate_median_seconds,candidate_min_seconds,candidate_max_seconds,speedup,profitable
2mm,init_array,0.0,2.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,800.0,1.0,800.0,0.4473684,0.1842105,0.3529412,1.6886442594199995,1.68348629048,0.0993430478046793,1.67249869556,1.58469428956,1.99615062356,1.00306386156464,1.0
2mm,init_array,0.0,4.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,800.0,1.0,800.0,0.4473684,0.1842105,0.3529412,1.6886442594199995,1.67925901852,0.0701561878086963,1.65840115564,1.58214682864,1.79563012264,1.0055889179670872,1.0
2mm,init_array,0.0,8.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,800.0,1.0,800.0,0.4473684,0.1842105,0.3529412,1.6886442594199995,1.7127787720199998,0.0777361397119767,1.72534768522,1.56351179222,1.93869568022,0.9859091477578644,0.0
2mm,init_array,0.0,16.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,800.0,1.0,800.0,0.4473684,0.1842105,0.3529412,1.6886442594199995,1.67677196768,0.072361563180196,1.66868436284,1.56958199984,1.86215027984,1.007080445027016,1.0
2mm,init_array,1.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1200.0,1.0,1200.0,0.4444444,0.1111111,0.4166667,1.6886442594199995,1.6637640635600004,0.1017795514701285,1.6321349932,1.5583602112,1.9636163612,1.0149541611127015,1.0
2mm,init_array,1.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1200.0,1.0,1200.0,0.4444444,0.1111111,0.4166667,1.6886442594199995,1.6960792813400003,0.1114565632241832,1.67245775418,1.56566468218,2.07641989418,0.9956163476543818,0.0
2mm,init_array,1.0,8.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1200.0,1.0,1200.0,0.4444444,0.1111111,0.4166667,1.6886442594199995,1.6693384413399996,0.0738633451985729,1.63186985086,1.58797967386,1.81147152286,1.0115649514813203,1.0
2mm,init_array,1.0,16.0,2.0,1.0,1.0,0.0,3.0,1.0,27.0,0.0,3.0,10.0,2.0,4.0,1.0,3.0,1.0,0.0,1.0,1200.0,1.0,1200.0,0.4444444,0.1111111,0.4166667,1.6886442594199995,1.7528059944399998,0.0915720197878128,1.7501633658400002,1.58279425784,1.99808139684,0.963394845052148,0.0
2mm,init_array,2.0,2.0,1.0,0.0,0.0,1.0,7.0,1.0,39.0,0.0,7.0,13.0,4.0,6.0,1.0,7.0,2.0,0.0,1.0,900.0,1.0,900.0,0.4358974,0.1794872,0.4117647,1.6886442594199995,1.7464588026600003,0.0616257762338383,1.76892974714,1.59350372214,1.83851423514,0.9668961311014356,0.0
2mm,init_array,2.0,4.0,1.0,0.0,0.0,1.0,7.0,1.0,39.0,0.0,7.0,13.0,4.0,6.0,1.0,7.0,2.0,0.0,1.0,900.0,1.0,900.0,0.4358974,0.1794872,0.4117647,1.6886442594199995,1.7213178592400005,0.0782693911997502,1.72817878024,1.61286783924,1.87257829124,0.981018264787872,0.0
2mm,init_array,2.0,8.0,1.0,0.0,0.0,1.0,7.0,1.0,39.0,0.0,7.0,13.0,4.0,6.0,1.0,7.0,2.0,0.0,1.0,900.0,1.0,900.0,0.4358974,0.1794872,0.4117647,1.6886442594199995,1.70527721948,0.0930567325114762,1.72758370308,1.5822334070800002,1.97628524408,0.9902461840984,0.0
2mm,init_array,2.0,16.0,1.0,0.0,0.0,1.0,7.0,1.0,39.0,0.0,7.0,13.0,4.0,6.0,1.0,7.0,2.0,0.0,1.0,900.0,1.0,900.0,0.4358974,0.1794872,0.4117647,1.6886442594199995,1.67190626244,0.0797996381284171,1.6442079138,1.5805406948,1.8741609848000005,1.0100113250102742,1.0
2mm,init_array,3.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,28.0,0.0,3.0,10.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,800.0,1.0,800.0,0.4285714,0.1071429,0.5,1.6886442594199995,1.68508490754,0.2150070732850036,1.60959303522,1.56550308822,2.62831751422,1.0021122685652653,1.0
2mm,init_array,3.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0,28.0,0.0,3.0,10.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,800.0,1.0,800.0,0.4285714,0.1071429,0.5,1.6886442594199995,1.76949668904,0.0646811936119783,1.7568726974000002,1.6549441084000005,2.0255138384,0.9543076683212868,0.0
2mm,init_array,3.0,8.0,2.0,1.0,1.0,0.0,3.0,1.0,28.0,0.0,3.0,10.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,800.0,1.0,800.0,0.4285714,0.1071429,0.5,1.6886442594199995,1.7389348695799998,0.080516655068865,1.76154292134,1.60101699934,1.86830692634,0.9710796470645582,0.0
2mm,init_array,3.0,16.0,2.0,1.0,1.0,0.0,3.0,1.0,28.0,0.0,3.0,10.0,2.0,5.0,1.0,3.0,1.0,0.0,1.0,800.0,1.0,800.0,0.4285714,0.1071429,0.5,1.6886442594199995,1.67038206768,0.0876039913824882,1.6126690226800002,1.5726941946800002,1.85828421368,1.0109329428837583,1.0
2mm,init_array,4.0,2.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,900.0,1.0,900.0,0.4473684,0.1842105,0.3529412,1.6886442594199995,1.6681401461200005,0.094895197884225,1.6498960096000002,1.5747602286000002,2.0195055516,1.0122916011269742,1.0
2mm,init_array,4.0,4.0,1.0,0.0,0.0,1.0,7.0,1.0,38.0,0.0,7.0,13.0,4.0,5.0,1.0,7.0,2.0,0.0,1.0,900.0,1.0,900.0,0.4473684,0.1842105,0.3529412,1.6886442594199995,1.6686803698800003,0.1025866386537752,1.6159502,1.5838703820000002,2.073223337,1.0119638787034062,1.0
